timestamp,ticket_id,description,recommended_ids
2025-11-03T10:49:47.293737,,i placed the product 2 weeks ago but din't received it yet,"[""art_16"", ""art_15"", ""art_12""]"
2025-11-03T10:54:16.975404,,i placed ,"[""art_11"", ""art_8"", ""art_4""]"
2025-11-03T10:54:19.632790,,i placed the order ,"[""art_3"", ""art_9"", ""art_4""]"
2025-11-03T10:54:27.192995,,i placed the order 3 days ago but haven,"[""art_3"", ""art_4"", ""art_1""]"
2025-11-03T10:54:32.292953,,i placed the order 3 days ago but haven't received the order ,"[""art_3"", ""art_4"", ""art_9""]"
2025-11-03T10:54:34.158260,,i placed the order 3 days ago but haven't received the order yet,"[""art_3"", ""art_1"", ""art_4""]"
2025-11-03T10:55:04.968752,,i received an damaged product i ,"[""art_15"", ""art_10"", ""art_5""]"
2025-11-03T10:55:13.612877,,i received an damaged product i want replacement,"[""art_15"", ""art_5"", ""art_10""]"
2025-11-03T10:55:16.807722,,i received an damaged product i want replacement or r,"[""art_5"", ""art_15"", ""art_10""]"
2025-11-03T10:55:17.973351,,i received an damaged product i want replacement or re,"[""art_5"", ""art_15"", ""art_10""]"
2025-11-03T10:55:20.298350,,i received an damaged product i want replacement or refund ,"[""art_5"", ""art_15"", ""art_10""]"
2025-11-03T10:55:27.863815,,i received an damaged product i want replacement or refund for the product ,"[""art_5"", ""art_15"", ""art_10""]"
2025-11-03T11:02:29.675845,,"I placed an order two weeks ago, but the product hasn’t been delivered yet. The tracking link shows no updates. Can you please check the status?","[""art_9"", ""art_1"", ""art_4""]"
2025-11-03T11:02:57.047361,,"I ordered wireless earbuds last week, but one side isn’t working and the charging case has scratches. Please guide me on how to return or replace the product.","[""art_3"", ""art_10"", ""art_9""]"
2025-11-03T11:03:21.000767,,"My payment was deducted from my bank account, but the order isn’t showing in my purchase history. Please confirm if it went through or needs to be retried.","[""art_3"", ""art_1"", ""art_10""]"
2025-11-03T11:04:01.291165,,I received a completely different product from what I ordered. I had ordered a red backpack but received a blue one instead. Please arrange for an exchange.,"[""art_10"", ""art_3"", ""art_15""]"
2025-11-03T11:06:21.193950,,I received a completely different product from what I ordered. I had ordered a red backpack but received a blue one instead. Please arrange for an exchange,"[""art_10"", ""art_3"", ""art_19""]"
2025-11-03T11:06:44.589999,, I received a completely different product from what I ordered. I had ordered a red backpack but received a blue one instead. Please arrange for an exchange.,"[""art_10"", ""art_3"", ""art_19""]"
2025-11-03T11:08:00.352262,,I received a completely different product from what I ordered. I had ordered a red backpack but received a blue one instead. Please arrange for an exchange.,"[""art_10"", ""art_3"", ""art_19""]"
2025-11-03T11:17:25.476248,, I received a completely different product from what I ordered. I had ordered a red backpack but received a blue one instead. Please arrange for an exchange.,"[""art_19"", ""art_15"", ""art_5""]"
2025-11-03T11:18:03.421654,,"My payment was deducted from my bank account, but the order isn’t showing in my purchase history. Please confirm if it went through or needs to be retried.","[""art_2"", ""art_3"", ""art_14""]"
2025-11-03T11:18:29.202362,,"I ordered wireless earbuds last week, but one side isn’t working and the charging case has scratches. Please guide me on how to return or replace the product.","[""art_19"", ""art_15"", ""art_3""]"
2025-11-03T11:18:56.886925,,"I placed an order two weeks ago, but the product hasn’t been delivered yet. The tracking link shows no updates. Can you please check the status?","[""art_9"", ""art_10"", ""art_1""]"
